id,nome,tipoEstacao,codigoAdicional,codigoNomeBacia,codigoNomeSubBacia,nomeRio,nomeEstado,nomeMunicipio,responsavelSigla,operadoraSigla,areaDrenagem,latitude,longitude,altitude
10017500,NUEVA LOJA SECTOR LA PISTA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,0.1014,-76.8617,
10018000,NUEVA LOJA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,4600.0,0.0439,-76.8083,299.0
10018100,NUEVA LOJA SECTOR LAS GABARRAS,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,0.0606,-76.7817,
10018200,PACAYACU SECTOR BELLAVISTA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.0056,-76.6444,
10018300,CUYABENO SECTOR RESERVA DE CUYABENO (PUENTE),Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.03,-76.3156,
10018400,PAPALLACTA SECTOR VÍA ANTIGUA A PAPALLACTA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.3711,-78.1481,
10018500,GENERAL FARFAN SECTOR NUEVA MONTEPA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,0.1436,-76.8067,
10018600,PACAYACU SECTOR PLAYA ORIENTAL,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,0.2442,-76.5183,
10018700,SANTA ELENA SECTOR EL CONEJO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,0.2708,-76.4064,
10018750,PALMA ROJA SECTOR TACE,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,0.1317,-76.105,
10018780,PUERTO EL CARMEN DEL PUTUMAYO SECTOR MANSAYA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,0.1008,-75.8978,
10018800,SANTA ELENA SECTOR EL PALMAR PUENTE PEATONAL,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,0.4114,-76.2636,
10018900,PUERTO EL CARMEN DEL PUTUMAYO SECTOR AGUAS BLANCAS,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,0.0514,-75.8128,
10020000,PTE. STUART (ELECTROP),Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO SOLIMÕES-AMAZONAS,PERU,PERU,SENAMHI-PERU,SENAMHI-PERU,,-11.8,-75.8166666666667,3350.0
10028000,PUENTE COLCA - SANTO TOMÁS,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO SOLIMÕES-AMAZONAS,PERU,PERU,SENAMHI-PERU,SENAMHI-PERU,1640.0,-14.4164,-72.0758,3660.0
10030000,PUENTE CUNYAC,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO SOLIMÕES-AMAZONAS,PERU,PERU,SENAMHI-PERU,SENAMHI-PERU,26700.0,-13.5597,-72.5736,2345.0
10032000,PUENTE PAMPAS,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO SOLIMÕES-AMAZONAS,PERU,PERU,SENAMHI-PERU,SENAMHI-PERU,18800.0,-13.45,-73.8167,2200.0
10033000,PISAC,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO SOLIMÕES-AMAZONAS,PERU,PERU,SENAMHI-PERU,SENAMHI-PERU,6900.0,-13.4275,-71.8411,2971.0
10034000,PAUCARTAMBO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO SOLIMÕES-AMAZONAS,PERU,PERU,SENAMHI-PERU,SENAMHI-PERU,2440.0,-13.3144,-71.595,3042.0
10035000,CHACLLABAMBA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO SOLIMÕES-AMAZONAS,PERU,PERU,SENAMHI-PERU,SENAMHI-PERU,2980.0,-13.1069,-71.7206,2518.0
10038000,BALSAS,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO SOLIMÕES-AMAZONAS,PERU,PERU,SENAMHI-PERU,SENAMHI-PERU,18.9,-6.8742,-76.0717,
10038100,PUENTE BREÑA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO SOLIMÕES-AMAZONAS,PERU,PERU,SENAMHI-PERU,SENAMHI-PERU,10700.0,-12.0478,-75.2417,3220.0
10038300,RIO CUNAS,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO SOLIMÕES-AMAZONAS,PERU,PERU,SENAMHI-PERU,SENAMHI-PERU,1700.0,-12.0542,-75.2833,3240.0
10038600,SHULLCAS,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO SOLIMÕES-AMAZONAS,PERU,PERU,SENAMHI-PERU,SENAMHI-PERU,170.0,-12.0028,-75.1583,3510.0
10039000,PERENE,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO SOLIMÕES-AMAZONAS,PERU,PERU,SENAMHI-PERU,SENAMHI-PERU,12600.0,-10.9492,-74.8306,660.0
10040000,TINGO MARIA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO HUALLAGUA,PERU,PERU,SENAMHI-PERU,SENAMHI-PERU,2240.0,-9.2919,-76.9878,691.0
10041000,CAMPANILLA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO HUALLAGUA,PERU,PERU,SENAMHI-PERU,SENAMHI-PERU,30600.0,-7.4333,-76.6833,390.0
