nome,latitude,longitude
ITARCA,1.5,-75.4666666666667
BOCATOMA M,1.56666666666667,-75.2833333333333
COCATOMA 1,1.6,-75.6333333333333
BOCATOMA 2,1.6,-75.6333333333333
TAGUA LA,-0.0666666666666667,-74.6666666666667
SAN IGNÁCIO,2.0525,-74.7731
ESMERALDA LA,1.86666666666667,-75.1666666666667
BOCATOMA,1.66666666666667,-75.2166666666667
ALTO LA ESMERALDA,1.78333333333333,-75.25
DONCELLO,1.66666666666667,-75.25
PÁTIO BONITO,1.95,-75.2167
PTO RICO,1.8836,-75.1972
QUILLA LA,0.55,-74.35
ESTRECHOS LOS,-0.533333333333333,-73.4
UMANCIA,-0.183333333333333,-74.2833333333333
GUAQUIRA,-0.333333333333333,-74.0333333333333
PTO BELEN,-0.4,-73.7666666666667
MONOS LOS,-0.616666666666667,-73.15
PTO ZABALO,-0.6036,-72.9392
ANGOSTURAS,-0.55,-72.75
MONOCHOA,-0.666666666666667,-72.6166666666667
PTO LAS BRISAS,-0.583333333333333,-72.4666666666667
CUEMANI,-0.533333333333333,-73.0166666666667
MERCEDES LA,-0.533333333333333,-72.1666666666667
MIRANAS LAS,-1.35,-70.8
MARIA MANTECA,-1.4,-70.6
MANACARO,-1.5161,-70.1956
AGUAZUL,-0.55,-72.1333333333333
QUINCHE,-0.916666666666667,-71.8
PTO CORDOBA,-1.26666666666667,-69.7333333333333
PEDRERA LA,-1.3,-69.6166666666667
BACURI,-1.2492,-69.5111
PTO CAIMAN,-1.55,-70.0333333333333
VILLARREAL,-1.3094,-69.6192
VILA BITTENCOURT,-1.3947,-69.4283
ACANAUI,-1.8211,-66.6092
ABACATAL,-1.6,-66.55
BARREIRINHA,-2.1003,-66.4169
MARAÃ,-1.8611,-65.5989
SANTA ISABEL DO RIO NEGRO,-2.4292,-65.0103
LARANJAL,-3.2461,-64.7675
FAZENDA BOA ESPERANÇA,-5.2386,-67.2339
ESTIRÃO DA SANTA CRUZ,-4.2922,-65.2017
TEFÉ,-3.39361111111111,-64.6344444444445
TEFÉ - MISSÕES,-3.3758,-64.6547
TEFÉ - MISSÕES-TELEMÉTRICA,-3.3758,-64.6547
SERINGAL MOREIRA,-5.1092,-63.9847
ITAPÉUA,-4.0578,-63.0278
COARI,-4.0822,-63.1428
COARI,-4.0856,-63.0833
SANTA LUZIA DO BANANAL,-4.0847,-63.1008
RIO COARI,-4.0533,-63.1758
FOZ DO RIO COARI GRANDE,-4.0764,-63.1406
CODAJÁS,-3.8447,-62.0611
CODAJÁS,-3.8497,-62.0686
FAZENDA CANAVIAL,-3.3658,-63.5489
SANTA ROSA DO PURUS(Colonia Chambuiaco),-9.4344,-70.4939
SANTA ROSA DO PURUS - SEDE,-9.4342,-70.4942
SANTA ROSA DO PURUS,-9.4311,-70.4933
PARQUE CHANDLESS,-9.3603,-69.9275
FAZENDA JUSSARA,-9.35,-69.9167
SANTA ROSA DO PURUS,-9.4342,-70.4942
MANOEL URBANO,-8.8886,-69.275
MANOEL URBANO,-8.8886,-69.2758
SERINGAL PROVIDÊNCIA,-8.9444,-68.6292
FAZENDA REPOUSO (Rio Macauã),-9.5439,-68.9431
SERINGAL SÃO JOSÉ,-9.3744,-68.7239
SENA MADUREIRA,-9.0678,-68.6531
BOCA DO CAFEZAL,-9.0603,-68.6533
BOCA DO CAFEZAL (PORTOBRÁS),-9.0667,-68.65
SERINGAL GUARANY,-9.1103,-68.9933
SENA MADUREIRA,-9.0539,-68.6375
SERINGAL DA CARIDADE,-9.0439,-68.5772
ESEC RIO ACRE,-11.0514,-70.2164
ASSIS BRASIL,-10.9453,-69.5639
ALDEIA DOS PATOS,-10.9261,-69.9233
INAMPARI,-10.95,-69.6
ASSIS BRASIL,-10.9436,-69.5656
ASSIS BRASIL - CPRM,-10.9436,-69.5656
BRASILÉIA,-11.0161,-68.7514
BRASILÉIA (Ponte Internacional Wilson Pinheiro),-11.0161,-68.7508
BRASILÉIA,-11.0178,-68.745
BRASILÉIA - CPRM,-11.0178,-68.745
EPITACIOLÂNDIA (Colônia São Bento),-10.8956,-68.6081
COLÔNIA DOLORES (XAPURI),-10.5606,-68.7047
XAPURI,-10.6511,-68.5075
XAPURI,-10.6514,-68.5061
XAPURI - PCD,-10.6497,-68.5064
FAZENDA PERSEVERANÇA,-10.6383,-68.4253
CAPIXABA (Colocação São José),-10.3886,-67.9353
FAZENDA ITÚ,-10.2667,-67.8333
ESPALHA (Seringal Belo Horizonte),-10.005,-68.5294
RIO ROLA (Ramal do Barro Alto),-10.0567,-67.9639
FAZENDA SANTO AFONSO,-10.0908,-67.9006
RIO BRANCO,-9.9583,-67.7869
RIO BRANCO,-9.975,-67.8008
RIO BRANCO - AUXILIAR,-9.9667,-67.9667
RIO BRANCO - CPRM,-9.975,-67.8008
RIO BRANCO,-9.9594,-67.7689
PORTO ACRE,-9.5906,-67.5322
PORTO ACRE,-9.5819,-67.5281
FLORIANO PEIXOTO,-9.0667,-67.3969
BOCA DO ACRE,-8.7356,-67.4
BOCA DO ACRE - AUXILIAR,-8.7333,-67.4
VALPARAÍSO - MONTANTE,-8.6506,-67.3681
VALPARAÍSO - MONTANTE,-8.6533,-67.375
SERINGAL SÃO PEDRO,-7.5167,-67.6
FAZENDA BORANGABA,-7.54,-67.4778
SERINGAL FORTALEZA,-7.7156,-66.9997
IQUIRI,-10.0789,-67.5436
CACHOEIRA FORTALEZA - MONTANTE,-8.8833,-66.2
CACHOEIRA FORTALEZA,-8.8611,-66.1833
CACHOEIRA FORTALEZA - JUSANTE,-8.8194,-66.1139
CACHOEIRA DO MEIO,-8.8,-66.1333
GAIVOTÃO,-8.7833,-65.9167
JURENÉ,-8.7675,-65.8844
CACHOEIRA SANTO ANTÔNIO,-8.6,-65.5833
SÃO GREGÓRIO,-7.5517,-64.93
SERINGAL FLORESTA,-7.9761,-65.2322
LÁBREA,-7.2581,-64.7975
LÁBREA (DNPVN),-7.25,-64.7833
CANUTAMA,-6.5389,-64.3858
CRISTO,-7.4644,-64.2433
FAZENDA BOA VISTA,-6.4667,-65.9167
BACABA,-6.3192,-64.8861
BACABA,-5.8333,-65.2
CASTANHAL PATÚ,-5.6667,-64.3333
BATURITÉ,-5.7211,-63.5108
ITATUBA,-5.6833,-63.4167
BEABÁ (CARIUACANGA),-4.8592,-62.8686
BEABÁ,-4.8592,-62.8686
ARUMÃ - MONTANTE,-4.75,-62.1833
ARUMÃ - JUSANTE,-4.7286,-62.1453
PARICATUBA,-4.4089,-61.8989
RIO PURUS (MONTANTE),-3.9428,-61.4469
BERURI,-3.8989,-61.3742
FOZ DO PURUS MONTANTE,-3.7364,-61.5525
FOZ DO PURUS,-3.7344,-61.44
